;struct;abs_ads [mol/uc];abs_ads [mol/sc];abs_ads [mg/g];abs_ads [mg/cm3];abs_ads [mol/kg];abs_ads [cm3STP/g];abs_ads [cm3STP/cm3];q_st [kjmol]
4318;gee_24-02-08_12-02-08_24-02-08_06-10-08_06-10-08;610.02;610.02;772.6698248783039;65.76028923077484;48.164048699363995;1079.547819704028;91.878024191472;6.25587468195189
4319;crb-b_30-03-12_29-03-12_08-12-12_09-12-12;256.68;256.68;504.0892074524041;83.8734622258285;31.422188840039993;704.296178438616;117.18512922862801;6.744651550598713
4320;ths-c3_16-02-06_03-02-06_03-02-06;280.08;280.08;887.6495980463759;61.25972100557563;55.331264533176;1240.1936213873041;85.58998438831202;5.88003167900169
4321;bor_12-02-08_29-02-08_09-10-08;227.14;227.14;585.519666203252;76.6958219066503;36.498122255062;818.0680268522741;107.15677596592799;7.276734642462507
4322;pdp-a_30-03-12_11-03-12_11-03-12_11-03-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12;2904.58;2904.58;650.072917304258;64.87533300271973;40.52202213724001;908.2596186833402;90.64159365283402;6.537040738899663
4323;itv_28-02-08_30-02-08_07-10-08_08-10-08;195.82;391.64;415.539967545286;122.1875951188595;25.902509182742;580.57821275412;170.71632366410202;10.363051890360369
4324;ana-b_29-03-09_30-03-09_02-05-09_02-05-09_02-05-09_02-05-09;1722.72;1722.72;715.50172240632;61.423772573015825;44.600499152592;999.6745046299678;85.819191619728;5.985151291275631
4325;ptr_29-01-01_31-01-01_08-08-01_09-08-01;1779.34;1779.34;784.811808053284;66.77740492702422;48.92091417636;1096.512182717774;93.29910340465801;5.6769047891756115
4326;mmm_31-02-06_29-02-06_13-02-06_None_None;297.66;297.66;837.3452943189179;64.44090069173257;52.19556689569199;1169.910170854854;90.034619708022;5.96965297527591
4327;cda_28-02-06_29-02-06_03-02-06_04-02-06;703.04;703.04;1068.3713775076158;59.20734330614842;66.596480666144;1492.691902918944;82.72247254752;5.361955875630243
4328;twt-b_14-03-12_12-03-12_06-12-12_06-12-12;36.497143200000004;255.48000240000002;182.08891497509921;101.66500304903015;11.350435965692634;254.40839647529612;142.04286080180566;10.140363902016349
4329;ana-f_34-11-10_34-11-10_01-06-10_02-06-10_02-06-10;1597.58;1597.58;505.3224527550359;73.23225223637478;31.499062619606008;706.019226424154;102.31759501549;6.187027813725566
4330;twt-b_11-03-12_12-03-12_10-12-12_10-12-12;123.22;246.44;577.5275303644441;75.78112398619287;35.999935817494;806.901688340736;105.878791354294;7.156195896692736
4331;bao_29-01-01_29-01-01_09-08-01_09-08-01_08-08-01;474.32;474.32;719.726026495784;69.89375163770214;44.86381930923201;1005.57655768108;97.65315632318399;6.388064220725959
4332;ctn_12-03-09_28-03-09_02-05-09;969.54;969.54;797.514840269004;59.04100426737958;49.712752318086004;1114.260424424862;82.490069339964;5.51170477922142
4333;unw_24-04-05_04-02-05_03-02-05;2317.72;2317.72;1246.0455821536038;55.58230253643508;77.67172745398399;1740.9322172558122;77.65768971925999;5.262728338154726
4334;unl_29-03-09_02-05-09_02-05-09_02-05-09;1402.1;1402.1;690.52435439883;63.75383572528867;43.043545315050004;964.77698129498;89.07467605623998;6.527736706322302
4335;pnb_24-02-04_24-02-04_04-03-04_04-03-04_04-03-04;291.61;1166.44;208.98092199404198;92.96227838346049;13.026737911605;291.980987787533;129.88371192159;10.36889815813818
4336;ukk_24-02-05_01-04-05_01-04-05_01-04-05;266.9599996;1601.7599976000001;256.6095286077086;94.5699421333459;15.995647081048892;358.52604592072987;132.12988465387093;9.610371456032649
4337;cry_20-12-12_20-12-12_20-12-12_04-03-12_04-03-12_04-03-12;306.025;1224.1;199.9717263384825;72.83007793155842;12.4651534890975;279.3936481323025;101.755690865095;9.241610730750503
4338;tps-a_12-04-05_12-04-05_12-04-05_30-04-05_01-02-05_01-02-05_01-02-05_01-02-05_01-02-05_01-02-05_01-02-05_01-02-05_01-02-05;3866.2;3866.2;2710.71296525796;48.884343448471654;168.97115328157997;3787.315328339661;68.29953065156;4.610047305827802
4339;rra_30-03-09_11-03-09_11-03-09_02-05-09_02-05-09_02-05-09;4047.86;4047.86;994.0211406142861;55.76983443238468;61.961889954343995;1388.81229787688;77.91970285701198;5.526179676366692
4340;cza_30-02-06_16-02-06_13-02-06_04-02-06_02-02-06;2881.62;2881.62;1483.672486386258;53.11809321101022;92.48410064451599;2072.9363906224257;74.214780841404;4.875836173721166
4341;pyo_36-11-11_13-07-11_14-07-11_None_None;150.7;150.7;526.2573936252601;92.98952572285704;32.80403339862001;735.2688090042901;129.92178096941998;8.089050760619445
4342;dtd_30-03-12_30-03-12_30-03-12_30-03-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12_06-12-12;1214.16;1214.16;543.018355186824;76.37797153280641;33.848820902928;758.6866505560799;106.7126863116;8.368808492493132
4343;twt-b_11-01-01_16-01-01_09-08-01_09-08-01;167.28;167.28;594.1589338739999;74.84602829395511;37.036647369552;830.1385157893922;104.57230767458401;6.509021214289968
4344;sdt_28-01-01_28-01-01_08-08-01_08-08-01_09-08-01;2443.18;2443.18;703.2015391016099;72.24651098958071;43.83377231699399;982.489109645906;100.94035110881597;6.53997629738944
4345;gis_29-03-12_08-12-12_09-12-12;794.18;794.18;710.1928249074261;66.78444187057572;44.269571184708;992.2570948754321;93.308935192372;6.47229905702247
4346;dia-f_32-02-08_08-10-08_09-10-08;1501.62;1501.62;1712.8780729732318;53.29443313730764;106.77153460341002;2393.1745870165983;74.46115694170199;4.984080683329095
4347;asn_13-02-08_13-02-08_13-02-08_13-02-08_29-02-08_29-02-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08_08-10-08;1435.6;1435.6;1028.52798863752;60.917533537566506;64.11285978391999;1437.0240843345998;85.11189177039999;5.852000091610049
4348;gee_24-02-06_12-02-06_24-02-06_02-02-06_01-02-06;1039.32;1039.32;1087.5116836448642;56.80202674633713;67.78958360148;1519.4340832151165;79.361846619264;5.3009403609875605
4349;urh_29-03-12_30-03-12_31-03-12_06-12-12_06-12-12;296.16;296.16;450.54643628203206;91.24801408553517;28.084622713296;629.488052101728;127.48860055104;8.612456658542428
4350;uop_24-03-12_09-12-12_09-12-12_09-12-12_09-12-12;705.22;705.22;623.6716795873259;73.00228043281727;38.876311952006;871.3727134583979;101.99628630161001;6.340757327950483
4351;thz_28-02-08_29-02-08_28-02-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08_06-10-08;4405.52;4405.52;1153.957280621544;57.667820278012506;71.931441913576;1612.269595706448;80.571503682376;5.401391858587646
4352;tfm_31-02-08_29-02-08_19-10-08_None_None;386.7;386.7;580.7111606343599;83.66290701725025;36.1983860682;811.3497475066198;116.89094869463999;7.516583838809163
4353;srs-a_16-03-12_09-12-12_08-12-12;2963.94;2963.94;2458.6491208869656;49.88787407459453;153.25885941273603;3435.1403567281495;69.701629276482;5.201383552703569
4354;ast_28-03-12_29-03-12_06-12-12_07-12-12;1272.14;1272.14;662.330611991248;67.3826120493327;41.28610025556;925.3856500099159;94.14467808331003;6.827811893633692
